Column,Season,Episode,Scene,StartTime,EndTime,SpeakerNames
22,1,1,23,1332.16,1379.84,bran_stark
23,1,1,24,1379.84,1407.6,catelyn_stark
23,1,1,24,1379.84,1407.6,bran_stark
24,1,1,25,1407.6,1655.88,robert_baratheon
24,1,1,25,1407.6,1655.88,sansa_stark
24,1,1,25,1407.6,1655.88,cersei_lannister
24,1,1,25,1407.6,1655.88,arya_stark
24,1,1,25,1407.6,1655.88,catelyn_stark
24,1,1,25,1407.6,1655.88,eddard_stark
25,1,1,26,1655.88,1742.88,robert_baratheon
25,1,1,26,1655.88,1742.88,eddard_stark
25,1,1,26,1655.88,1742.88,cersei_lannister
26,1,1,27,1742.88,1867.6,tyrion_lannister
26,1,1,27,1742.88,1867.6,jaime_lannister
26,1,1,27,1742.88,1867.6,ros
27,1,1,28,1867.6,1914.36,tyrion_lannister
27,1,1,28,1867.6,1914.36,robert_baratheon
27,1,1,28,1867.6,1914.36,eddard_stark
28,1,1,29,1914.36,2059.96,daenerys_targaryen
28,1,1,29,1914.36,2059.96,viserys_targaryen
28,1,1,29,1914.36,2059.96,robert_baratheon
29,1,1,30,2059.96,2180.28,viserys_targaryen
29,1,1,30,2059.96,2180.28,illyrio_mopatis
30,1,1,31,2180.28,2278.32,daenerys_targaryen
30,1,1,31,2180.28,2278.32,viserys_targaryen
30,1,1,31,2180.28,2278.32,illyrio_mopatis
31,1,1,32,2278.32,2327.4,sansa_stark
31,1,1,32,2278.32,2327.4,catelyn_stark
32,1,1,33,2327.4,2349.08,sansa_stark
33,1,1,34,2349.08,2516.72,tyrion_lannister
33,1,1,34,2349.08,2516.72,jon_snow
33,1,1,34,2349.08,2516.72,benjen_stark
34,1,1,35,2516.72,2574.64,robb_stark
34,1,1,35,2516.72,2574.64,eddard_stark
34,1,1,35,2516.72,2574.64,benjen_stark
35,1,1,36,2574.64,2653.36,robb_stark
35,1,1,36,2574.64,2653.36,benjen_stark
35,1,1,36,2574.64,2653.36,sansa_stark
35,1,1,36,2574.64,2653.36,cersei_lannister
35,1,1,36,2574.64,2653.36,catelyn_stark
36,1,1,37,2653.36,2683.16,jaime_lannister
36,1,1,37,2653.36,2683.16,eddard_stark
37,1,1,38,2683.16,2703.04,sansa_stark
37,1,1,38,2683.16,2703.04,jaime_lannister
37,1,1,38,2683.16,2703.04,robb_stark
38,1,1,39,2703.04,2877.2,catelyn_stark
38,1,1,39,2703.04,2877.2,eddard_stark
38,1,1,39,2703.04,2877.2,maester_luwin
39,1,1,40,2877.2,3198.44,viserys_targaryen
39,1,1,40,2877.2,3198.44,illyrio_mopatis
39,1,1,40,2877.2,3198.44,daenerys_targaryen
39,1,1,40,2877.2,3198.44,jorah_mormont
40,1,1,41,3198.44,3296.96,khal_drogo
40,1,1,41,3198.44,3296.96,daenerys_targaryen
40,1,1,41,3198.44,3296.96,viserys_targaryen
41,1,1,42,3296.96,3371.44,robert_baratheon
41,1,1,42,3296.96,3371.44,sandor_clegane
41,1,1,42,3296.96,3371.44,tyrion_lannister
41,1,1,42,3296.96,3371.44,eddard_stark
42,1,1,43,3371.44,3484.5,jaime_lannister
42,1,1,43,3371.44,3484.5,bran_stark
42,1,1,43,3371.44,3484.5,cersei_lannister
43,1,1,44,3484.5,3545.84,none
44,1,2,1,0,116.36,none
45,1,2,2,116.36,204.8,jorah_mormont
45,1,2,2,116.36,204.8,daenerys_targaryen
45,1,2,2,116.36,204.8,doreah
46,1,2,3,204.8,281.16,jorah_mormont
46,1,2,3,204.8,281.16,irri
46,1,2,3,204.8,281.16,viserys_targaryen
47,1,2,4,281.16,374.64,tyrion_lannister
47,1,2,4,281.16,374.64,sandor_clegane
47,1,2,4,281.16,374.64,joffrey_baratheon
48,1,2,5,374.64,502,tyrion_lannister
48,1,2,5,374.64,502,myrcella_baratheon
48,1,2,5,374.64,502,jaime_lannister
48,1,2,5,374.64,502,cersei_lannister
49,1,2,6,502,642.04,catelyn_stark
49,1,2,6,502,642.04,cersei_lannister
50,1,2,7,642.04,740.12,jon_snow
50,1,2,7,642.04,740.12,jaime_lannister
51,1,2,8,740.12,871.72,arya_stark
51,1,2,8,740.12,871.72,jon_snow
52,1,2,9,871.72,981,jon_snow
52,1,2,9,871.72,981,catelyn_stark
53,1,2,10,981,1081.64,catelyn_stark
53,1,2,10,981,1081.64,eddard_stark
54,1,2,11,1081.64,1125,jon_snow
54,1,2,11,1081.64,1125,robb_stark
55,1,2,12,1125,1224.2,jon_snow
55,1,2,12,1125,1224.2,eddard_stark
56,1,2,13,1224.2,1415.36,robert_baratheon
56,1,2,13,1224.2,1415.36,eddard_stark
57,1,2,14,1415.36,1474.68,none
58,1,2,15,1474.68,1651.44,tyrion_lannister
58,1,2,15,1474.68,1651.44,jon_snow
58,1,2,15,1474.68,1651.44,robert_baratheon
58,1,2,15,1474.68,1651.44,benjen_stark
59,1,2,16,1651.44,1770.44,catelyn_stark
59,1,2,16,1651.44,1770.44,robb_stark
59,1,2,16,1651.44,1770.44,maester_luwin
60,1,2,17,1770.44,1835.2,catelyn_stark
60,1,2,17,1770.44,1835.2,catspaw_assassin
61,1,2,18,1835.2,1943.24,irri
61,1,2,18,1835.2,1943.24,jhiqui
61,1,2,18,1835.2,1943.24,daenerys_targaryen
61,1,2,18,1835.2,1943.24,doreah
62,1,2,19,1943.24,1974.28,daenerys_targaryen
62,1,2,19,1943.24,1974.28,doreah
63,1,2,20,1974.28,2049.4,none
64,1,2,21,2049.4,2154.64,rodrik_cassel
64,1,2,21,2049.4,2154.64,robb_stark
64,1,2,21,2049.4,2154.64,benjen_stark
64,1,2,21,2049.4,2154.64,maester_luwin
64,1,2,21,2049.4,2154.64,catelyn_stark
64,1,2,21,2049.4,2154.64,theon_greyjoy
65,1,2,22,2154.64,2303.76,daenerys_targaryen
65,1,2,22,2154.64,2303.76,doreah
66,1,2,23,2303.76,2428.08,daenerys_targaryen
66,1,2,23,2303.76,2428.08,doreah
67,1,2,24,2428.08,2535.16,sansa_stark
67,1,2,24,2428.08,2535.16,joffrey_baratheon
67,1,2,24,2428.08,2535.16,sandor_clegane
68,1,2,25,2535.16,2691.12,arya_stark
68,1,2,25,2535.16,2691.12,sansa_stark
68,1,2,25,2535.16,2691.12,joffrey_baratheon
68,1,2,25,2535.16,2691.12,mycah
69,1,2,26,2691.12,2740.4,arya_stark
69,1,2,26,2691.12,2740.4,joffrey_baratheon
70,1,2,27,2740.4,3015.4,robert_baratheon
70,1,2,27,2740.4,3015.4,joffrey_baratheon
70,1,2,27,2740.4,3015.4,jory_cassel
70,1,2,27,2740.4,3015.4,sansa_stark
70,1,2,27,2740.4,3015.4,cersei_lannister
70,1,2,27,2740.4,3015.4,arya_stark
70,1,2,27,2740.4,3015.4,eddard_stark
71,1,2,28,3015.4,3045.12,eddard_stark
72,1,2,29,3045.12,3116.6,the_wolf
72,1,2,30,3116.6,3181.6,none
73,1,3,1,0,103.76,none
74,1,3,2,103.76,156.04,eddard_stark
74,1,3,2,103.76,156.04,jory_cassel
75,1,3,3,156.04,304.56,jaime_lannister
75,1,3,3,156.04,304.56,eddard_stark
76,1,3,4,304.56,471.2,grand_maester_pycelle
76,1,3,4,304.56,471.2,lord_varys
76,1,3,4,304.56,471.2,renly_baratheon
76,1,3,4,304.56,471.2,petyr_baelish
76,1,3,4,304.56,471.2,eddard_stark
77,1,3,5,471.2,624.12,lord_varys
77,1,3,5,471.2,624.12,joffrey_baratheon
77,1,3,5,471.2,624.12,cersei_lannister
78,1,3,6,624.12,701.8,sansa_stark
78,1,3,6,624.12,701.8,cersei_lannister
78,1,3,6,624.12,701.8,arya_stark
78,1,3,6,624.12,701.8,septa_mordane
78,1,3,6,624.12,701.8,eddard_stark
79,1,3,7,701.8,910.28,arya_stark
79,1,3,7,701.8,910.28,eddard_stark
80,1,3,8,910.28,1084,bran_stark
80,1,3,8,910.28,1084,robb_stark
81,1,3,9,1084,1124.68,catelyn_stark
81,1,3,9,1084,1124.68,rodrik_cassel
81,1,3,9,1084,1124.68,bran_stark
82,1,3,10,1124.68,1249.56,catelyn_stark
82,1,3,10,1124.68,1249.56,petyr_baelish
82,1,3,10,1124.68,1249.56,lord_varys
83,1,3,11,1249.56,1341.6,tyrion_lannister
83,1,3,11,1249.56,1341.6,alliser_thorne
83,1,3,11,1249.56,1341.6,petyr_baelish
84,1,3,12,1341.6,1388.28,jeor_mormont
84,1,3,12,1341.6,1388.28,grand_maester_pycelle
84,1,3,12,1341.6,1388.28,petyr_baelish
84,1,3,12,1341.6,1388.28,eddard_stark
85,1,3,13,1388.28,1421.52,eddard_stark
85,1,3,13,1388.28,1421.52,catelyn_stark
85,1,3,13,1388.28,1421.52,petyr_baelish
86,1,3,14,1421.52,1537.2,jon_snow
86,1,3,14,1421.52,1537.2,grenn
86,1,3,14,1421.52,1537.2,rast
86,1,3,14,1421.52,1537.2,pypar
86,1,3,14,1421.52,1537.2,tyrion_lannister
87,1,3,15,1537.2,1572.6,catelyn_stark
87,1,3,15,1537.2,1572.6,petyr_baelish
88,1,3,16,1572.6,1638.28,jaime_lannister
88,1,3,16,1572.6,1638.28,cersei_lannister
89,1,3,17,1638.28,1733.24,catelyn_stark
89,1,3,17,1638.28,1733.24,eddard_stark
90,1,3,18,1733.24,1994.24,lancel_lannister
90,1,3,18,1733.24,1994.24,barristan_selmy
90,1,3,18,1733.24,1994.24,jaime_lannister
90,1,3,18,1733.24,1994.24,robert_baratheon
91,1,3,19,1994.24,2203.52,irri
91,1,3,19,1994.24,2203.52,viserys_targaryen
91,1,3,19,1994.24,2203.52,daenerys_targaryen
91,1,3,19,1994.24,2203.52,jorah_mormont
92,1,3,20,2203.52,2318.12,none
93,1,3,21,2318.12,2410,jon_snow
93,1,3,21,2318.12,2410,benjen_stark
94,1,3,22,2410,2633.96,tyrion_lannister
94,1,3,22,2410,2633.96,yoren
94,1,3,22,2410,2633.96,benjen_stark
95,1,3,23,2633.96,2670.28,irri
95,1,3,23,2633.96,2670.28,daenerys_targaryen
96,1,3,24,2670.28,2799.32,jorah_mormont
96,1,3,24,2670.28,2799.32,irri
96,1,3,24,2670.28,2799.32,rakharo
97,1,3,25,2799.32,2827.56,jon_snow
98,1,3,26,2827.56,2917.6,maester_aemon
98,1,3,26,2827.56,2917.6,tyrion_lannister
98,1,3,26,2827.56,2917.6,jeor_mormont
99,1,3,27,2917.6,2963.84,khal_drogo
99,1,3,27,2917.6,2963.84,daenerys_targaryen
100,1,3,28,2963.84,3023.4,tyrion_lannister
100,1,3,28,2963.84,3023.4,jon_snow
101,1,3,29,3023.4,3226.76,arya_stark
101,1,3,29,3023.4,3226.76,syrio_forel
102,1,3,30,3226.76,3293.56,none
103,1,4,1,0,108.08,none
104,1,4,2,108.08,151.2,none
105,1,4,3,151.2,202.6,bran_stark
105,1,4,3,151.2,202.6,theon_greyjoy
106,1,4,4,202.6,301.16,tyrion_lannister
106,1,4,4,202.6,301.16,robb_stark
106,1,4,4,202.6,301.16,bran_stark
106,1,4,4,202.6,301.16,maester_luwin
107,1,4,5,301.16,384.96,tyrion_lannister
107,1,4,5,301.16,384.96,theon_greyjoy
108,1,4,6,384.96,586.76,jon_snow
108,1,4,6,384.96,586.76,alliser_thorne
108,1,4,6,384.96,586.76,grenn
108,1,4,6,384.96,586.76,rast
108,1,4,6,384.96,586.76,pypar
108,1,4,6,384.96,586.76,tyrion_lannister
108,1,4,6,384.96,586.76,samwell_tarly
109,1,4,7,586.76,707.76,viserys_targaryen
109,1,4,7,586.76,707.76,daenerys_targaryen
109,1,4,7,586.76,707.76,jorah_mormont
110,1,4,8,707.76,988.08,jorah_mormont
110,1,4,8,707.76,988.08,viserys_targaryen
110,1,4,8,707.76,988.08,doreah
111,1,4,9,988.08,1087.12,sansa_stark
111,1,4,9,988.08,1087.12,septa_mordane
112,1,4,10,1087.12,1162.36,lord_varys
112,1,4,10,1087.12,1162.36,janos_slynt
112,1,4,10,1087.12,1162.36,renly_baratheon
112,1,4,10,1087.12,1162.36,sansa_stark
112,1,4,10,1087.12,1162.36,petyr_baelish
112,1,4,10,1087.12,1162.36,eddard_stark
113,1,4,11,1162.36,1225.72,grand_maester_pycelle
113,1,4,11,1162.36,1225.72,eddard_stark
114,1,4,12,1225.72,1364.6,grand_maester_pycelle
114,1,4,12,1225.72,1364.6,eddard_stark
115,1,4,13,1364.6,1467.64,arya_stark
115,1,4,13,1364.6,1467.64,eddard_stark
116,1,4,14,1467.64,1595.28,jon_snow
116,1,4,14,1467.64,1595.28,samwell_tarly
117,1,4,15,1595.28,1698.24,eddard_stark
117,1,4,15,1595.28,1698.24,petyr_baelish
118,1,4,16,1698.24,1729.88,petyr_baelish
118,1,4,16,1698.24,1729.88,jory_cassel
119,1,4,17,1729.88,1749.6,eddard_stark
119,1,4,17,1729.88,1749.6,jory_cassel
120,1,4,18,1749.6,1870.84,tobho_mott
120,1,4,18,1749.6,1870.84,gendry
120,1,4,18,1749.6,1870.84,eddard_stark
120,1,4,18,1749.6,1870.84,jory_cassel
121,1,4,19,1870.84,1983.76,robert_baratheon
121,1,4,19,1870.84,1983.76,jaime_lannister
121,1,4,19,1870.84,1983.76,eddard_stark
121,1,4,19,1870.84,1983.76,jory_cassel
122,1,4,20,1983.76,2041.6,jon_snow
122,1,4,20,1983.76,2041.6,grenn
122,1,4,20,1983.76,2041.6,pypar
123,1,4,21,2041.6,2066.96,jon_snow
123,1,4,21,2041.6,2066.96,rast
124,1,4,22,2066.96,2141.4,grenn
124,1,4,22,2066.96,2141.4,alliser_thorne
125,1,4,23,2141.4,2218.8,irri
125,1,4,23,2141.4,2218.8,daenerys_targaryen
125,1,4,23,2141.4,2218.8,viserys_targaryen
125,1,4,23,2141.4,2218.8,doreah
126,1,4,24,2218.8,2563.68,jon_snow
126,1,4,24,2218.8,2563.68,alliser_thorne
126,1,4,24,2218.8,2563.68,samwell_tarly
127,1,4,25,2563.68,2625.8,jorah_mormont
127,1,4,25,2563.68,2625.8,daenerys_targaryen
128,1,4,26,2625.8,2865.12,robert_baratheon
128,1,4,26,2625.8,2865.12,sansa_stark
128,1,4,26,2625.8,2865.12,petyr_baelish
128,1,4,26,2625.8,2865.12,arya_stark
128,1,4,26,2625.8,2865.12,septa_mordane
129,1,4,27,2865.12,2961.08,jory_cassel
129,1,4,27,2865.12,2961.08,eddard_stark
129,1,4,27,2865.12,2961.08,cersei_lannister
130,1,4,28,2961.08,3137.32,marillion
130,1,4,28,2961.08,3137.32,rodrik_cassel
130,1,4,28,2961.08,3137.32,bronn
130,1,4,28,2961.08,3137.32,tyrion_lannister
130,1,4,28,2961.08,3137.32,yoren
130,1,4,28,2961.08,3137.32,masha_heddle
130,1,4,28,2961.08,3137.32,catelyn_stark
131,1,4,29,3137.32,3201.16,none
132,1,5,1,0,109.12,none
133,1,5,2,109.12,169.08,barristan_selmy
133,1,5,2,109.12,169.08,eddard_stark
134,1,5,3,169.08,368.2,lancel_lannister
134,1,5,3,169.08,368.2,barristan_selmy
134,1,5,3,169.08,368.2,robert_baratheon
134,1,5,3,169.08,368.2,eddard_stark
135,1,5,4,368.2,597.24,marillion
135,1,5,4,368.2,597.24,robert_baratheon
135,1,5,4,368.2,597.24,renly_baratheon
135,1,5,4,368.2,597.24,sansa_stark
135,1,5,4,368.2,597.24,petyr_baelish
135,1,5,4,368.2,597.24,sandor_clegane
135,1,5,4,368.2,597.24,catelyn_stark
135,1,5,4,368.2,597.24,loras_tyrell
135,1,5,4,368.2,597.24,eddard_stark
136,1,5,5,597.24,787.24,tyrion_lannister
136,1,5,5,597.24,787.24,catelyn_stark
136,1,5,5,597.24,787.24,rodrik_cassel
136,1,5,5,597.24,787.24,bronn
137,1,5,6,787.24,936.04,theon_greyjoy
137,1,5,6,787.24,936.04,bran_stark
137,1,5,6,787.24,936.04,maester_luwin
138,1,5,7,936.04,1035.4,ros
138,1,5,7,936.04,1035.4,theon_greyjoy
139,1,5,8,1035.4,1048.68,arya_stark
140,1,5,9,1048.68,1196.32,eddard_stark
140,1,5,9,1048.68,1196.32,lord_varys
141,1,5,10,1196.32,1282.76,illyrio_mopatis
141,1,5,10,1196.32,1282.76,lord_varys
142,1,5,11,1282.76,1487.4,renly_baratheon
142,1,5,11,1282.76,1487.4,illyrio_mopatis
142,1,5,11,1282.76,1487.4,petyr_baelish
142,1,5,11,1282.76,1487.4,lord_varys
143,1,5,12,1487.4,1546,arya_stark
143,1,5,12,1487.4,1546,lord_varys
144,1,5,13,1546,1672.76,arya_stark
144,1,5,13,1546,1672.76,yoren
144,1,5,13,1546,1672.76,eddard_stark
144,1,5,13,1546,1672.76,jory_cassel
145,1,5,14,1672.76,1739.48,bronn
145,1,5,14,1672.76,1739.48,vardis_egen
145,1,5,14,1672.76,1739.48,tyrion_lannister
145,1,5,14,1672.76,1739.48,yoren
145,1,5,14,1672.76,1739.48,catelyn_stark
146,1,5,15,1739.48,1970.24,grand_maester_pycelle
146,1,5,15,1739.48,1970.24,robert_baratheon
146,1,5,15,1739.48,1970.24,lord_varys
146,1,5,15,1739.48,1970.24,royal_steward
146,1,5,15,1739.48,1970.24,renly_baratheon
146,1,5,15,1739.48,1970.24,petyr_baelish
146,1,5,15,1739.48,1970.24,eddard_stark
147,1,5,16,1970.24,2027.24,petyr_baelish
147,1,5,16,1970.24,2027.24,eddard_stark
147,1,5,16,1970.24,2027.24,jory_cassel
148,1,5,17,2027.24,2141.28,tyrion_lannister
148,1,5,17,2027.24,2141.28,lysa_arryn
148,1,5,17,2027.24,2141.28,catelyn_stark
148,1,5,17,2027.24,2141.28,robin_arryn
149,1,5,18,2141.28,2181,mord
149,1,5,18,2141.28,2181,lysa_arryn
150,1,5,19,2181,2407.84,renly_baratheon
150,1,5,19,2181,2407.84,loras_tyrell
151,1,5,20,2407.84,2771.16,robert_baratheon
151,1,5,20,2407.84,2771.16,cersei_lannister
152,1,5,21,2771.16,2870.8,petyr_baelish
152,1,5,21,2771.16,2870.8,eddard_stark
152,1,5,21,2771.16,2870.8,mhaegen
153,1,5,22,2870.8,3056.32,eddard_stark
153,1,5,22,2870.8,3056.32,jaime_lannister
153,1,5,22,2870.8,3056.32,petyr_baelish
153,1,5,22,2870.8,3056.32,jory_cassel
154,1,5,23,3056.32,3123.12,none
155,1,6,1,0,102.24,none
156,1,6,2,102.24,366.92,robert_baratheon
156,1,6,2,102.24,366.92,eddard_stark
156,1,6,2,102.24,366.92,cersei_lannister
157,1,6,3,366.92,451.64,irri
157,1,6,3,366.92,451.64,daenerys_targaryen
157,1,6,3,366.92,451.64,robert_baratheon
158,1,6,4,451.64,485.96,none
159,1,6,5,485.96,495.68,none
160,1,6,6,495.68,757.4,osha
160,1,6,6,495.68,757.4,robb_stark
160,1,6,6,495.68,757.4,wildling
160,1,6,6,495.68,757.4,bran_stark
160,1,6,6,495.68,757.4,theon_greyjoy
161,1,6,7,757.4,821.44,tyrion_lannister
161,1,6,7,757.4,821.44,mord
161,1,6,7,757.4,821.44,osha
161,1,6,7,757.4,821.44,robb_stark
162,1,6,8,821.44,928.76,mord
162,1,6,8,821.44,928.76,syrio_forel
162,1,6,8,821.44,928.76,arya_stark
163,1,6,9,928.76,1131.92,jorah_mormont
163,1,6,9,928.76,1131.92,syrio_forel
163,1,6,9,928.76,1131.92,daenerys_targaryen
163,1,6,9,928.76,1131.92,viserys_targaryen
164,1,6,10,1131.92,1260.96,jorah_mormont
164,1,6,10,1131.92,1260.96,viserys_targaryen
165,1,6,11,1260.96,1374.2,tyrion_lannister
165,1,6,11,1260.96,1374.2,mord
166,1,6,12,1374.2,1695.36,bronn
166,1,6,12,1374.2,1695.36,vardis_egen
166,1,6,12,1374.2,1695.36,robin_arryn
166,1,6,12,1374.2,1695.36,tyrion_lannister
166,1,6,12,1374.2,1695.36,lysa_arryn
166,1,6,12,1374.2,1695.36,catelyn_stark
167,1,6,13,1695.36,1803.8,lancel_lannister
167,1,6,13,1695.36,1803.8,barristan_selmy
167,1,6,13,1695.36,1803.8,robert_baratheon
167,1,6,13,1695.36,1803.8,renly_baratheon
168,1,6,14,1803.8,2038.72,grand_maester_pycelle
168,1,6,14,1803.8,2038.72,beric_dondarrion
168,1,6,14,1803.8,2038.72,petyr_baelish
168,1,6,14,1803.8,2038.72,eddard_stark
169,1,6,15,2038.72,2294.72,bronn
169,1,6,15,2038.72,2294.72,robin_arryn
169,1,6,15,2038.72,2294.72,tyrion_lannister
169,1,6,15,2038.72,2294.72,lysa_arryn
170,1,6,16,2294.72,2461.44,sansa_stark
170,1,6,16,2294.72,2461.44,joffrey_baratheon
170,1,6,16,2294.72,2461.44,septa_mordane
171,1,6,17,2461.44,2549.84,ros
171,1,6,17,2461.44,2549.84,theon_greyjoy
172,1,6,18,2549.84,2691.2,sansa_stark
172,1,6,18,2549.84,2691.2,arya_stark
172,1,6,18,2549.84,2691.2,eddard_stark
173,1,6,19,2691.2,2964.96,viserys_targaryen
173,1,6,19,2691.2,2964.96,khal_drogo
173,1,6,19,2691.2,2964.96,daenerys_targaryen
173,1,6,19,2691.2,2964.96,jorah_mormont
174,1,6,20,2964.96,3026.64,none
175,1,7,1,0,113.24,none
176,1,7,2,113.24,379.4,jaime_lannister
176,1,7,2,113.24,379.4,tywin_lannister
177,1,7,3,379.4,553.16,eddard_stark
177,1,7,3,379.4,553.16,cersei_lannister
178,1,7,4,553.16,844.36,ros
178,1,7,4,553.16,844.36,petyr_baelish
179,1,7,5,844.36,1058,theon_greyjoy
179,1,7,5,844.36,1058,osha
179,1,7,5,844.36,1058,maester_luwin
180,1,7,6,1058,1150.8,jon_snow
180,1,7,6,1058,1150.8,samwell_tarly
181,1,7,7,1150.8,1164.76,renly_baratheon
181,1,7,7,1150.8,1164.76,robert_baratheon
181,1,7,7,1150.8,1164.76,cersei_lannister
182,1,7,8,1164.76,1447.16,eddard_stark
182,1,7,8,1164.76,1447.16,robert_baratheon
183,1,7,9,1447.16,1539.96,barristan_selmy
183,1,7,9,1447.16,1539.96,eddard_stark
183,1,7,9,1447.16,1539.96,lord_varys
184,1,7,10,1539.96,1681.32,khal_drogo
184,1,7,10,1539.96,1681.32,daenerys_targaryen
185,1,7,11,1681.32,1712.92,daenerys_targaryen
186,1,7,12,1712.92,1871.48,wine_merchant
186,1,7,12,1712.92,1871.48,daenerys_targaryen
187,1,7,13,1871.48,1895.84,rakharo
187,1,7,13,1871.48,1895.84,jorah_mormont
188,1,7,14,1895.84,2144.04,jeor_mormont
188,1,7,14,1895.84,2144.04,jon_snow
188,1,7,14,1895.84,2144.04,samwell_tarly
188,1,7,14,1895.84,2144.04,jaremy_rykker
188,1,7,14,1895.84,2144.04,othell_yarwyck
189,1,7,15,2144.04,2212.48,maester_aemon
189,1,7,15,2144.04,2212.48,jon_snow
189,1,7,15,2144.04,2212.48,samwell_tarly
190,1,7,16,2212.48,2314.28,jon_snow
190,1,7,16,2212.48,2314.28,pypar
190,1,7,16,2212.48,2314.28,samwell_tarly
191,1,7,17,2314.28,2436.24,renly_baratheon
191,1,7,17,2314.28,2436.24,eddard_stark
191,1,7,17,2314.28,2436.24,tomard
192,1,7,18,2436.24,2637.04,eddard_stark
192,1,7,18,2436.24,2637.04,petyr_baelish
193,1,7,19,2637.04,2759.32,jon_snow
193,1,7,19,2637.04,2759.32,samwell_tarly
193,1,7,19,2637.04,2759.32,othell_yarwyck
194,1,7,20,2759.32,2970.28,daenerys_targaryen
194,1,7,20,2759.32,2970.28,khal_drogo
195,1,7,21,2970.28,2990.68,none
196,1,7,22,2990.68,3048.24,eddard_stark
196,1,7,22,2990.68,3048.24,petyr_baelish
196,1,7,22,2990.68,3048.24,lord_varys
197,1,7,23,3048.24,3261.64,eddard_stark
197,1,7,23,3048.24,3261.64,petyr_baelish
197,1,7,23,3048.24,3261.64,cersei_lannister
197,1,7,23,3048.24,3261.64,barristan_selmy
197,1,7,23,3048.24,3261.64,joffrey_baratheon
197,1,7,23,3048.24,3261.64,janos_slynt
197,1,7,23,3048.24,3261.64,lord_varys
198,1,7,24,3261.64,3325.12,none
199,1,8,1,0,114,none
200,1,8,2,114,116.52,none
201,1,8,3,116.52,129.88,none
202,1,8,4,129.88,137,syrio_forel
203,1,8,5,137,152,none
204,1,8,6,152,191.96,sansa_stark
204,1,8,6,152,191.96,septa_mordane
205,1,8,7,191.96,339.76,meryn_trant
205,1,8,7,191.96,339.76,syrio_forel
205,1,8,7,191.96,339.76,sansa_stark
206,1,8,8,339.76,359.68,arya_stark
207,1,8,9,359.68,380.16,sansa_stark
207,1,8,9,359.68,380.16,sandor_clegane
208,1,8,10,380.16,415.64,arya_stark
209,1,8,11,415.64,589.36,lord_varys
209,1,8,11,415.64,589.36,eddard_stark
210,1,8,12,589.36,662.72,othell_yarwyck
210,1,8,12,589.36,662.72,jon_snow
210,1,8,12,589.36,662.72,alliser_thorne
210,1,8,12,589.36,662.72,jeor_mormont
210,1,8,12,589.36,662.72,samwell_tarly
211,1,8,13,662.72,747.8,jeor_mormont
211,1,8,13,662.72,747.8,jon_snow
212,1,8,14,747.8,875.16,grand_maester_pycelle
212,1,8,14,747.8,875.16,lord_varys
212,1,8,14,747.8,875.16,sansa_stark
212,1,8,14,747.8,875.16,petyr_baelish
212,1,8,14,747.8,875.16,cersei_lannister
213,1,8,15,875.16,957.36,theon_greyjoy
213,1,8,15,875.16,957.36,robb_stark
213,1,8,15,875.16,957.36,maester_luwin
